ID,Age,Gender,Occupation,Phone Type,Current Bike,Relationship,Response
906,28,Female,Self Employed,Average,125 to 180,Committed,Purchased
907,43,Female,Self Employed,Low End,Below 125,Single,Not purchased
908,51,Male ,Student,High End,125 to 180,Single,Purchased
909,60,Female,Self Employed,High End,125 to 180,Married,Not purchased
910,53,Female,Unemployed,Average,125 to 180,Complicated,Not purchased
911,54,Female,Professional,Low End,180 to 220,Married,Not purchased
912,59,Female,Unemployed,Low End,Below 125,Committed,Not purchased
913,45,Male ,Unemployed,Low End,No Bike,Married,Not purchased
914,31,Female,Self Employed,Average,125 to 180,Complicated,Purchased
915,21,Male ,Unemployed,Average,125 to 180,Single,Not purchased
916,51,Male ,Unemployed,Average,No Bike,Committed,Purchased
917,37,Female,Professional,High End,220 and Above,Single,Purchased
918,21,Male ,Self Employed,High End,No Bike,Married,Purchased
919,60,Female,Unemployed,High End,125 to 180,Married,Not purchased
920,38,Female,Unemployed,High End,220 and Above,Complicated,Not purchased
921,59,Male ,Unemployed,Average,180 to 220,Committed,Not purchased
922,26,Female,Self Employed,Low End,220 and Above,Married,Purchased
923,43,Female,Professional,High End,180 to 220,Married,Not purchased
924,47,Female,Professional,High End,125 to 180,Complicated,Not purchased
925,37,Male ,Self Employed,High End,Below 125,Married,Not purchased
926,40,Male ,Professional,High End,180 to 220,Married,Not purchased
927,24,Female,Professional,Average,No Bike,Single,Not purchased
928,43,Female,Self Employed,Average,180 to 220,Single,Not purchased
929,20,Female,Unemployed,Low End,125 to 180,Single,Purchased
930,23,Male ,Student,Average,Below 125,Committed,Purchased
931,25,Female,Professional,Average,No Bike,Committed,Not purchased
932,43,Female,Unemployed,Low End,180 to 220,Single,Not purchased
933,49,Male ,Student,High End,No Bike,Single,Not purchased
934,59,Female,Self Employed,Low End,No Bike,Married,Not purchased
935,21,Male ,Unemployed,Average,220 and Above,Single,Not purchased
936,33,Female,Professional,Low End,Below 125,Committed,Not purchased
937,19,Male ,Student,Average,No Bike,Single,Purchased
938,46,Male ,Unemployed,Average,Below 125,Committed,Not purchased
939,52,Female,Self Employed,High End,125 to 180,Married,Not purchased
940,32,Male ,Professional,High End,220 and Above,Complicated,Not purchased
941,32,Female,Student,Average,180 to 220,Single,Not purchased
942,41,Female,Unemployed,High End,125 to 180,Single,Not purchased
943,28,Male ,Unemployed,High End,No Bike,Complicated,Not purchased
944,39,Female,Self Employed,Average,No Bike,Complicated,Purchased
945,51,Male ,Student,Average,Below 125,Complicated,Not purchased
946,45,Female,Self Employed,Low End,Below 125,Single,Not purchased
947,57,Male ,Professional,Average,220 and Above,Single,Purchased
948,30,Female,Professional,Low End,No Bike,Complicated,Not purchased
949,19,Female,Unemployed,Low End,125 to 180,Single,Not purchased
950,42,Female,Self Employed,High End,No Bike,Single,Not purchased
951,24,Male ,Professional,High End,125 to 180,Married,Not purchased
952,18,Male ,Student,High End,180 to 220,Single,Purchased
953,34,Male ,Unemployed,High End,125 to 180,Committed,Purchased
954,45,Female,Unemployed,Average,125 to 180,Married,Not purchased
955,39,Female,Self Employed,Average,No Bike,Married,Not purchased
956,20,Male ,Professional,Average,125 to 180,Committed,Not purchased
957,41,Male ,Professional,Average,No Bike,Complicated,Not purchased
958,43,Male ,Professional,High End,125 to 180,Committed,Not purchased
959,20,Male ,Self Employed,Low End,180 to 220,Single,Purchased
960,19,Male ,Self Employed,Average,No Bike,Complicated,Purchased
961,20,Male ,Professional,Low End,220 and Above,Complicated,Not purchased
962,25,Male ,Professional,Average,180 to 220,Complicated,Not purchased
963,59,Male ,Professional,Low End,220 and Above,Committed,Not purchased
964,44,Female,Self Employed,Average,No Bike,Single,Not purchased
965,26,Female,Unemployed,Low End,125 to 180,Committed,Purchased
966,34,Female,Student,Average,Below 125,Married,Purchased
967,40,Male ,Self Employed,High End,No Bike,Complicated,Not purchased
968,21,Male ,Unemployed,Low End,180 to 220,Complicated,Purchased
969,29,Male ,Professional,Average,220 and Above,Married,Purchased
970,32,Female,Professional,Average,Below 125,Complicated,Not purchased
971,36,Female,Unemployed,High End,No Bike,Committed,Purchased
972,59,Female,Self Employed,Low End,Below 125,Complicated,Not purchased
973,55,Female,Unemployed,Low End,Below 125,Single,Not purchased
974,55,Female,Unemployed,Low End,180 to 220,Committed,Not purchased
975,37,Female,Unemployed,Average,180 to 220,Committed,Not purchased
976,60,Male ,Student,Low End,180 to 220,Married,Purchased
977,60,Male ,Professional,High End,Below 125,Married,Purchased
978,24,Female,Unemployed,High End,Below 125,Complicated,Purchased
979,47,Female,Unemployed,High End,220 and Above,Married,Not purchased
980,31,Male ,Unemployed,Average,Below 125,Single,Purchased
981,44,Female,Unemployed,Low End,No Bike,Married,Not purchased
982,51,Female,Professional,High End,125 to 180,Single,Not purchased
983,57,Female,Professional,Average,220 and Above,Complicated,Not purchased
984,57,Female,Self Employed,High End,125 to 180,Single,Not purchased
985,53,Male ,Student,Low End,125 to 180,Complicated,Purchased
986,18,Male ,Student,High End,180 to 220,Married,Not purchased
987,51,Female,Self Employed,Low End,220 and Above,Complicated,Not purchased
988,33,Male ,Unemployed,Low End,Below 125,Complicated,Not purchased
989,32,Male ,Unemployed,Average,Below 125,Committed,Not purchased
990,55,Female,Professional,Average,No Bike,Married,Not purchased
991,40,Male ,Unemployed,Low End,220 and Above,Complicated,Not purchased
992,55,Male ,Unemployed,High End,125 to 180,Committed,Not purchased
993,56,Male ,Self Employed,Average,Below 125,Committed,Not purchased
994,55,Male ,Self Employed,Low End,220 and Above,Married,Purchased
995,37,Female,Student,Average,No Bike,Complicated,Purchased
996,56,Male ,Self Employed,High End,125 to 180,Married,Not purchased
997,51,Male ,Student,Average,No Bike,Married,Not purchased
998,55,Female,Self Employed,High End,125 to 180,Single,Not purchased
999,45,Male ,Professional,High End,220 and Above,Committed,Not purchased
1000,35,Male ,Unemployed,High End,220 and Above,Married,Purchased
1001,24,Female,Student,High End,220 and Above,Single,Purchased
1002,19,Female,Student,High End,125 to 180,Complicated,Purchased
1003,24,Female,Student,High End,180 to 220,Complicated,Purchased
1004,18,Male ,Student,High End,180 to 220,Committed,Purchased
1005,23,Female,Student,High End,Below 125,Single,Purchased
1006,18,Male ,Student,High End,No Bike,Complicated,Purchased
1007,22,Female,Student,High End,180 to 220,Single,Purchased
1008,21,Female,Student,High End,180 to 220,Single,Purchased
1009,19,Male ,Student,High End,125 to 180,Committed,Purchased
1010,18,Male ,Student,High End,Below 125,Married,Purchased
1011,24,Female,Student,High End,180 to 220,Married,Purchased
1012,23,Female,Student,High End,125 to 180,Single,Purchased
1013,18,Male ,Student,High End,180 to 220,Single,Purchased
1014,24,Female,Student,High End,220 and Above,Single,Purchased
1015,19,Female,Student,High End,125 to 180,Complicated,Purchased
1016,24,Female,Student,High End,180 to 220,Complicated,Purchased
1017,18,Male ,Student,High End,180 to 220,Committed,Purchased
1018,23,Female,Student,High End,Below 125,Single,Purchased
1019,18,Male ,Student,High End,No Bike,Complicated,Purchased
1020,22,Female,Student,High End,180 to 220,Single,Purchased
1021,21,Female,Student,High End,180 to 220,Single,Purchased
1022,19,Male ,Student,High End,125 to 180,Committed,Purchased
1023,18,Male ,Student,High End,Below 125,Married,Purchased
1024,24,Female,Student,High End,180 to 220,Married,Purchased
1025,23,Female,Student,High End,125 to 180,Single,Purchased
1026,18,Male ,Student,High End,180 to 220,Single,Purchased
1027,24,Female,Student,High End,220 and Above,Single,Purchased
1028,19,Female,Student,High End,125 to 180,Complicated,Purchased
1029,24,Female,Student,High End,180 to 220,Complicated,Purchased
1030,18,Male ,Student,High End,180 to 220,Committed,Purchased
1031,23,Female,Student,High End,Below 125,Single,Purchased
1032,18,Male ,Student,High End,No Bike,Complicated,Purchased
1033,22,Female,Student,High End,180 to 220,Single,Purchased
1034,21,Female,Student,High End,180 to 220,Single,Purchased
1035,19,Male ,Student,High End,125 to 180,Committed,Purchased
1036,18,Male ,Student,High End,Below 125,Married,Purchased
1037,24,Female,Student,High End,180 to 220,Married,Purchased
1038,23,Female,Student,High End,125 to 180,Single,Purchased
1039,18,Male ,Student,High End,180 to 220,Single,Purchased
1040,24,Female,Student,High End,220 and Above,Single,Purchased
1041,19,Female,Student,High End,125 to 180,Complicated,Purchased
1042,24,Female,Student,High End,180 to 220,Complicated,Purchased
1043,18,Male ,Student,High End,180 to 220,Committed,Purchased
1044,23,Female,Student,High End,Below 125,Single,Purchased
1045,18,Male ,Student,High End,No Bike,Complicated,Purchased
1046,22,Female,Student,High End,180 to 220,Single,Purchased
1047,21,Female,Student,High End,180 to 220,Single,Purchased
1048,19,Male ,Student,High End,125 to 180,Committed,Purchased
1049,18,Male ,Student,High End,Below 125,Married,Purchased
1050,24,Female,Student,High End,180 to 220,Married,Purchased
1051,23,Female,Student,High End,125 to 180,Single,Purchased
1052,18,Male ,Student,High End,180 to 220,Single,Purchased
1053,24,Female,Student,High End,220 and Above,Single,Purchased
1054,19,Female,Student,High End,125 to 180,Complicated,Purchased
1055,24,Female,Student,High End,180 to 220,Complicated,Purchased
1056,18,Male ,Student,High End,180 to 220,Committed,Purchased
1057,23,Female,Student,High End,Below 125,Single,Purchased
1058,18,Male ,Student,High End,No Bike,Complicated,Purchased
1059,22,Female,Student,High End,180 to 220,Single,Purchased
1060,21,Female,Student,High End,180 to 220,Single,Purchased
1061,19,Male ,Student,High End,125 to 180,Committed,Purchased
1062,18,Male ,Student,High End,Below 125,Married,Purchased
1063,24,Female,Student,High End,180 to 220,Married,Purchased
1064,23,Female,Student,High End,125 to 180,Single,Purchased
1065,18,Male ,Student,High End,180 to 220,Single,Purchased
1066,24,Female,Student,High End,220 and Above,Single,Purchased
1067,19,Female,Student,High End,125 to 180,Complicated,Purchased
1068,24,Female,Student,High End,180 to 220,Complicated,Purchased
1069,18,Male ,Student,High End,180 to 220,Committed,Purchased
1070,23,Female,Student,High End,Below 125,Single,Purchased
1071,18,Male ,Student,High End,No Bike,Complicated,Purchased
1072,22,Female,Student,High End,180 to 220,Single,Purchased
1073,21,Female,Student,High End,180 to 220,Single,Purchased
1074,19,Male ,Student,High End,125 to 180,Committed,Purchased
1075,18,Male ,Student,High End,Below 125,Married,Purchased
1076,24,Female,Student,High End,180 to 220,Married,Purchased
1077,23,Female,Student,High End,125 to 180,Single,Purchased
1078,18,Male ,Student,High End,180 to 220,Single,Purchased
1079,24,Female,Student,High End,220 and Above,Single,Purchased
1080,19,Female,Student,High End,125 to 180,Complicated,Purchased
1081,24,Female,Student,High End,180 to 220,Complicated,Purchased
1082,18,Male ,Student,High End,180 to 220,Committed,Purchased
1083,23,Female,Student,High End,Below 125,Single,Purchased
1084,18,Male ,Student,High End,No Bike,Complicated,Purchased
1085,22,Female,Student,High End,180 to 220,Single,Purchased
1086,21,Female,Student,High End,180 to 220,Single,Purchased
1087,19,Male ,Student,High End,125 to 180,Committed,Purchased
1088,18,Male ,Student,High End,Below 125,Married,Purchased
1089,24,Female,Student,High End,180 to 220,Married,Purchased
1090,23,Female,Student,High End,125 to 180,Single,Purchased
1091,18,Male ,Student,High End,180 to 220,Single,Purchased
1092,24,Female,Student,High End,220 and Above,Single,Purchased
1093,19,Female,Student,High End,125 to 180,Complicated,Purchased
1094,24,Female,Student,High End,180 to 220,Complicated,Purchased
1095,18,Male ,Student,High End,180 to 220,Committed,Purchased
1096,23,Female,Student,High End,Below 125,Single,Purchased
1097,18,Male ,Student,High End,No Bike,Complicated,Purchased
1098,22,Female,Student,High End,180 to 220,Single,Purchased
1099,21,Female,Student,High End,180 to 220,Single,Purchased
1100,19,Male ,Student,High End,125 to 180,Committed,Purchased
1101,18,Male ,Student,High End,Below 125,Married,Purchased
1102,24,Female,Student,High End,180 to 220,Married,Purchased
1103,23,Female,Student,High End,125 to 180,Single,Purchased
1104,18,Male ,Student,High End,180 to 220,Single,Purchased
1105,24,Female,Student,High End,220 and Above,Single,Purchased
1106,19,Female,Student,High End,125 to 180,Complicated,Purchased
1107,24,Female,Student,High End,180 to 220,Complicated,Purchased
1108,18,Male ,Student,High End,180 to 220,Committed,Purchased
1109,23,Female,Student,High End,Below 125,Single,Purchased
1110,18,Male ,Student,High End,No Bike,Complicated,Purchased
1111,22,Female,Student,High End,180 to 220,Single,Purchased
1112,21,Female,Student,High End,180 to 220,Single,Purchased
1113,19,Male ,Student,High End,125 to 180,Committed,Purchased
1114,18,Male ,Student,High End,Below 125,Married,Purchased
1115,24,Female,Student,High End,180 to 220,Married,Purchased
1116,23,Female,Student,High End,125 to 180,Single,Purchased
1117,18,Male ,Student,High End,180 to 220,Single,Purchased
1118,24,Female,Student,High End,220 and Above,Single,Purchased
1119,19,Female,Student,High End,125 to 180,Complicated,Purchased
1120,24,Female,Student,High End,180 to 220,Complicated,Purchased
1121,18,Male ,Student,High End,180 to 220,Committed,Purchased
1122,23,Female,Student,High End,Below 125,Single,Purchased
1123,18,Male ,Student,High End,No Bike,Complicated,Purchased
1124,22,Female,Student,High End,180 to 220,Single,Purchased
1125,21,Female,Student,High End,180 to 220,Single,Purchased
1126,19,Male ,Student,High End,125 to 180,Committed,Purchased
1127,18,Male ,Student,High End,Below 125,Married,Purchased
1128,24,Female,Student,High End,180 to 220,Married,Purchased
1129,23,Female,Student,High End,125 to 180,Single,Purchased
1130,18,Male ,Student,High End,180 to 220,Single,Purchased
1131,24,Female,Student,High End,220 and Above,Single,Purchased
1132,19,Female,Student,High End,125 to 180,Complicated,Purchased
1133,24,Female,Student,High End,180 to 220,Complicated,Purchased
1134,18,Male ,Student,High End,180 to 220,Committed,Purchased
1135,23,Female,Student,High End,Below 125,Single,Purchased
1136,18,Male ,Student,High End,No Bike,Complicated,Purchased
1137,22,Female,Student,High End,180 to 220,Single,Purchased
1138,21,Female,Student,High End,180 to 220,Single,Purchased
1139,19,Male ,Student,High End,125 to 180,Committed,Purchased
1140,18,Male ,Student,High End,Below 125,Married,Purchased
1141,24,Female,Student,High End,180 to 220,Married,Purchased
1142,23,Female,Student,High End,125 to 180,Single,Purchased
1143,18,Male ,Student,High End,180 to 220,Single,Purchased
1144,24,Female,Student,High End,220 and Above,Single,Purchased
1145,19,Female,Student,High End,125 to 180,Complicated,Purchased
1146,24,Female,Student,High End,180 to 220,Complicated,Purchased
1147,18,Male ,Student,High End,180 to 220,Committed,Purchased
1148,23,Female,Student,High End,Below 125,Single,Purchased
1149,18,Male ,Student,High End,No Bike,Complicated,Purchased
1150,22,Female,Student,High End,180 to 220,Single,Purchased
1151,21,Female,Student,High End,180 to 220,Single,Purchased
1152,19,Male ,Student,High End,125 to 180,Committed,Purchased
1153,18,Male ,Student,High End,Below 125,Married,Purchased
1154,24,Female,Student,High End,180 to 220,Married,Purchased
1155,23,Female,Student,High End,125 to 180,Single,Purchased
1156,18,Male ,Student,High End,180 to 220,Single,Purchased
1157,24,Female,Student,High End,220 and Above,Single,Purchased
1158,19,Female,Student,High End,125 to 180,Complicated,Purchased
1159,24,Female,Student,High End,180 to 220,Complicated,Purchased
1160,18,Male ,Student,High End,180 to 220,Committed,Purchased
1161,23,Female,Student,High End,Below 125,Single,Purchased
1162,18,Male ,Student,High End,No Bike,Complicated,Purchased
1163,22,Female,Student,High End,180 to 220,Single,Purchased
1164,21,Female,Student,High End,180 to 220,Single,Purchased
1165,19,Male ,Student,High End,125 to 180,Committed,Purchased
1166,18,Male ,Student,High End,Below 125,Married,Purchased
1167,24,Female,Student,High End,180 to 220,Married,Purchased
1168,23,Female,Student,High End,125 to 180,Single,Purchased
1169,18,Male ,Student,High End,180 to 220,Single,Purchased
1170,24,Female,Student,High End,220 and Above,Single,Purchased
1171,19,Female,Student,High End,125 to 180,Complicated,Purchased
1172,24,Female,Student,High End,180 to 220,Complicated,Purchased
1173,18,Male ,Student,High End,180 to 220,Committed,Purchased
1174,23,Female,Student,High End,Below 125,Single,Purchased
1175,18,Male ,Student,High End,No Bike,Complicated,Purchased
1176,22,Female,Student,High End,180 to 220,Single,Purchased
1177,21,Female,Student,High End,180 to 220,Single,Purchased
1178,19,Male ,Student,High End,125 to 180,Committed,Purchased
1179,18,Male ,Student,High End,Below 125,Married,Purchased
1180,24,Female,Student,High End,180 to 220,Married,Purchased
1181,23,Female,Student,High End,125 to 180,Single,Purchased
1182,18,Male ,Student,High End,180 to 220,Single,Purchased
1183,24,Female,Student,High End,220 and Above,Single,Purchased
1184,19,Female,Student,High End,125 to 180,Complicated,Purchased
1185,24,Female,Student,High End,180 to 220,Complicated,Purchased
1186,18,Male ,Student,High End,180 to 220,Committed,Purchased
1187,23,Female,Student,High End,Below 125,Single,Purchased
1188,18,Male ,Student,High End,No Bike,Complicated,Purchased
1189,22,Female,Student,High End,180 to 220,Single,Purchased
1190,21,Female,Student,High End,180 to 220,Single,Purchased
1191,19,Male ,Student,High End,125 to 180,Committed,Purchased
1192,18,Male ,Student,High End,Below 125,Married,Purchased
1193,24,Female,Student,High End,180 to 220,Married,Purchased
1194,23,Female,Student,High End,125 to 180,Single,Purchased
1195,18,Male ,Student,High End,180 to 220,Single,Purchased
1196,24,Female,Student,High End,220 and Above,Single,Purchased
1197,19,Female,Student,High End,125 to 180,Complicated,Purchased
1198,24,Female,Student,High End,180 to 220,Complicated,Purchased
1199,18,Male ,Student,High End,180 to 220,Committed,Purchased
1200,23,Female,Student,High End,Below 125,Single,Purchased
1201,18,Male ,Student,High End,No Bike,Complicated,Purchased
1202,22,Female,Student,High End,180 to 220,Single,Purchased
1203,21,Female,Student,High End,180 to 220,Single,Purchased
1204,19,Male ,Student,High End,125 to 180,Committed,Purchased
1205,18,Male ,Student,High End,Below 125,Married,Purchased
1206,24,Female,Student,High End,180 to 220,Married,Purchased
1207,23,Female,Student,High End,125 to 180,Single,Purchased
1208,18,Male ,Student,High End,180 to 220,Single,Purchased
1209,24,Female,Student,High End,220 and Above,Single,Purchased
1210,19,Female,Student,High End,125 to 180,Complicated,Purchased
1211,24,Female,Student,High End,180 to 220,Complicated,Purchased
1212,18,Male ,Student,High End,180 to 220,Committed,Purchased
1213,23,Female,Student,High End,Below 125,Single,Purchased
1214,18,Male ,Student,High End,No Bike,Complicated,Purchased
1215,22,Female,Student,High End,180 to 220,Single,Purchased
1216,21,Female,Student,High End,180 to 220,Single,Purchased
1217,19,Male ,Student,High End,125 to 180,Committed,Purchased
1218,18,Male ,Student,High End,Below 125,Married,Purchased
1219,24,Female,Student,High End,180 to 220,Married,Purchased
1220,23,Female,Student,High End,125 to 180,Single,Purchased
1221,18,Male ,Student,High End,180 to 220,Single,Purchased
1222,24,Female,Student,High End,220 and Above,Single,Purchased
1223,19,Female,Student,High End,125 to 180,Complicated,Purchased
1224,24,Female,Student,High End,180 to 220,Complicated,Purchased
1225,18,Male ,Student,High End,180 to 220,Committed,Purchased
1226,23,Female,Student,High End,Below 125,Single,Purchased
1227,18,Male ,Student,High End,No Bike,Complicated,Purchased
1228,22,Female,Student,High End,180 to 220,Single,Purchased
1229,21,Female,Student,High End,180 to 220,Single,Purchased
1230,19,Male ,Student,High End,125 to 180,Committed,Purchased
1231,18,Male ,Student,High End,Below 125,Married,Purchased
1232,24,Female,Student,High End,180 to 220,Married,Purchased
1233,23,Female,Student,High End,125 to 180,Single,Purchased
1234,18,Male ,Student,High End,180 to 220,Single,Purchased
1235,24,Female,Student,High End,220 and Above,Single,Purchased
1236,19,Female,Student,High End,125 to 180,Complicated,Purchased
1237,24,Female,Student,High End,180 to 220,Complicated,Purchased
1238,18,Male ,Student,High End,180 to 220,Committed,Purchased
1239,23,Female,Student,High End,Below 125,Single,Purchased
1240,18,Male ,Student,High End,No Bike,Complicated,Purchased
1241,22,Female,Student,High End,180 to 220,Single,Purchased
1242,21,Female,Student,High End,180 to 220,Single,Purchased
1243,19,Male ,Student,High End,125 to 180,Committed,Purchased
1244,18,Male ,Student,High End,Below 125,Married,Purchased
1245,24,Female,Student,High End,180 to 220,Married,Purchased
1246,23,Female,Student,High End,125 to 180,Single,Purchased
1247,18,Male ,Student,High End,180 to 220,Single,Purchased
1248,24,Female,Student,High End,220 and Above,Single,Purchased
1249,19,Female,Student,High End,125 to 180,Complicated,Purchased
1250,24,Female,Student,High End,180 to 220,Complicated,Purchased
1251,18,Male ,Student,High End,180 to 220,Committed,Purchased
1252,23,Female,Student,High End,Below 125,Single,Purchased
1253,18,Male ,Student,High End,No Bike,Complicated,Purchased
1254,22,Female,Student,High End,180 to 220,Single,Purchased
1255,21,Female,Student,High End,180 to 220,Single,Purchased
1256,19,Male ,Student,High End,125 to 180,Committed,Purchased
1257,18,Male ,Student,High End,Below 125,Married,Purchased
1258,24,Female,Student,High End,180 to 220,Married,Purchased
1259,23,Female,Student,High End,125 to 180,Single,Purchased
1260,18,Male ,Student,High End,180 to 220,Single,Purchased
1261,24,Female,Student,High End,180 to 220,Complicated,Purchased
1262,18,Male ,Student,High End,180 to 220,Committed,Purchased
1263,23,Female,Student,High End,Below 125,Single,Purchased
1264,18,Male ,Student,High End,No Bike,Complicated,Purchased
1265,22,Female,Student,High End,180 to 220,Single,Purchased
1266,21,Female,Student,High End,180 to 220,Single,Purchased
1267,19,Male ,Student,High End,125 to 180,Committed,Purchased
1268,18,Male ,Student,High End,Below 125,Married,Purchased
1269,24,Female,Student,High End,180 to 220,Married,Purchased
1270,23,Female,Student,High End,125 to 180,Single,Purchased
1271,18,Male ,Student,High End,180 to 220,Single,Purchased
1272,24,Female,Student,High End,220 and Above,Single,Purchased
1273,19,Female,Student,High End,125 to 180,Complicated,Purchased
1274,24,Female,Student,High End,180 to 220,Complicated,Purchased
1275,18,Male ,Student,High End,180 to 220,Committed,Purchased
1276,23,Female,Student,High End,Below 125,Single,Purchased
1277,18,Male ,Student,High End,No Bike,Complicated,Purchased
1278,22,Female,Student,High End,180 to 220,Single,Purchased
1279,21,Female,Student,High End,180 to 220,Single,Purchased
1280,19,Male ,Student,High End,125 to 180,Committed,Purchased
1281,18,Male ,Student,High End,Below 125,Married,Purchased
1282,24,Female,Student,High End,180 to 220,Married,Purchased
1283,23,Female,Student,High End,125 to 180,Single,Purchased
1284,18,Male ,Student,High End,180 to 220,Single,Purchased
1285,24,Female,Student,High End,220 and Above,Single,Purchased
1286,19,Female,Student,High End,125 to 180,Complicated,Purchased
1287,24,Female,Student,High End,180 to 220,Complicated,Purchased
1288,18,Male ,Student,High End,180 to 220,Committed,Purchased
1289,23,Female,Student,High End,Below 125,Single,Purchased
1290,18,Male ,Student,High End,No Bike,Complicated,Purchased
1291,22,Female,Student,High End,180 to 220,Single,Purchased
1292,21,Female,Student,High End,180 to 220,Single,Purchased
1293,19,Male ,Student,High End,125 to 180,Committed,Purchased
1294,18,Male ,Student,High End,Below 125,Married,Purchased
1295,24,Female,Student,High End,180 to 220,Married,Purchased
1296,23,Female,Student,High End,125 to 180,Single,Purchased
1297,18,Male ,Student,High End,180 to 220,Single,Purchased
1298,24,Female,Student,High End,220 and Above,Single,Purchased
1299,19,Female,Student,High End,125 to 180,Complicated,Purchased
1300,24,Female,Student,High End,180 to 220,Complicated,Purchased
1301,18,Male ,Student,High End,180 to 220,Committed,Purchased
1302,23,Female,Student,High End,Below 125,Single,Purchased
1303,18,Male ,Student,High End,No Bike,Complicated,Purchased
1304,22,Female,Student,High End,180 to 220,Single,Purchased
1305,21,Female,Student,High End,180 to 220,Single,Purchased
1306,19,Male ,Student,High End,125 to 180,Committed,Purchased
1307,18,Male ,Student,High End,Below 125,Married,Purchased
1308,24,Female,Student,High End,180 to 220,Married,Purchased
1309,23,Female,Student,High End,125 to 180,Single,Purchased
1310,18,Male ,Student,High End,180 to 220,Single,Purchased
1311,24,Female,Student,High End,220 and Above,Single,Purchased
1312,19,Female,Student,High End,125 to 180,Complicated,Purchased
1313,24,Female,Student,High End,180 to 220,Complicated,Purchased
1314,18,Male ,Student,High End,180 to 220,Committed,Purchased
1315,23,Female,Student,High End,Below 125,Single,Purchased
1316,18,Male ,Student,High End,No Bike,Complicated,Purchased
1317,22,Female,Student,High End,180 to 220,Single,Purchased
1318,21,Female,Student,High End,180 to 220,Single,Purchased
1319,19,Male ,Student,High End,125 to 180,Committed,Purchased
1320,18,Male ,Student,High End,Below 125,Married,Purchased
1321,24,Female,Student,High End,180 to 220,Married,Purchased
1322,23,Female,Student,High End,125 to 180,Single,Purchased
1323,18,Male ,Student,High End,180 to 220,Single,Purchased
1324,24,Female,Student,High End,220 and Above,Single,Purchased
1325,19,Female,Student,High End,125 to 180,Complicated,Purchased
1326,24,Female,Student,High End,180 to 220,Complicated,Purchased
1327,18,Male ,Student,High End,180 to 220,Committed,Purchased
1328,23,Female,Student,High End,Below 125,Single,Purchased
1329,18,Male ,Student,High End,No Bike,Complicated,Purchased
1330,22,Female,Student,High End,180 to 220,Single,Purchased
1331,21,Female,Student,High End,180 to 220,Single,Purchased
1332,19,Male ,Student,High End,125 to 180,Committed,Purchased
1333,18,Male ,Student,High End,Below 125,Married,Purchased
1334,24,Female,Student,High End,180 to 220,Married,Purchased
1335,23,Female,Student,High End,125 to 180,Single,Purchased
1336,18,Male ,Student,High End,180 to 220,Single,Purchased
1337,24,Female,Student,High End,220 and Above,Single,Purchased
1338,19,Female,Student,High End,125 to 180,Complicated,Purchased
1339,24,Female,Student,High End,180 to 220,Complicated,Purchased
1340,18,Male ,Student,High End,180 to 220,Committed,Purchased
1341,23,Female,Student,High End,Below 125,Single,Purchased
1342,18,Male ,Student,High End,No Bike,Complicated,Purchased
1343,22,Female,Student,High End,180 to 220,Single,Purchased
1344,21,Female,Student,High End,180 to 220,Single,Purchased
1345,19,Male ,Student,High End,125 to 180,Committed,Purchased
1346,18,Male ,Student,High End,Below 125,Married,Purchased
1347,24,Female,Student,High End,180 to 220,Married,Purchased
1348,23,Female,Student,High End,125 to 180,Single,Purchased
1349,18,Male ,Student,High End,180 to 220,Single,Purchased
1350,24,Female,Student,High End,220 and Above,Single,Purchased
1351,19,Female,Student,High End,125 to 180,Complicated,Purchased
1352,24,Female,Student,High End,180 to 220,Complicated,Purchased
1353,18,Male ,Student,High End,180 to 220,Committed,Purchased
1354,23,Female,Student,High End,Below 125,Single,Purchased
1355,18,Male ,Student,High End,No Bike,Complicated,Purchased
1356,22,Female,Student,High End,180 to 220,Single,Purchased
1357,21,Female,Student,High End,180 to 220,Single,Purchased
1358,19,Male ,Student,High End,125 to 180,Committed,Purchased
1359,18,Male ,Student,High End,Below 125,Married,Purchased
1360,24,Female,Student,High End,180 to 220,Married,Purchased
1361,23,Female,Student,High End,125 to 180,Single,Purchased
1362,18,Male ,Student,High End,180 to 220,Single,Purchased
1363,24,Female,Student,High End,220 and Above,Single,Purchased
1364,19,Female,Student,High End,125 to 180,Complicated,Purchased
1365,24,Female,Student,High End,180 to 220,Complicated,Purchased
1366,18,Male ,Student,High End,180 to 220,Committed,Purchased
1367,23,Female,Student,High End,Below 125,Single,Purchased
1368,18,Male ,Student,High End,No Bike,Complicated,Purchased
1369,22,Female,Student,High End,180 to 220,Single,Purchased
1370,21,Female,Student,High End,180 to 220,Single,Purchased
1371,19,Male ,Student,High End,125 to 180,Committed,Purchased
1372,18,Male ,Student,High End,Below 125,Married,Purchased
1373,24,Female,Student,High End,180 to 220,Married,Purchased
1374,23,Female,Student,High End,125 to 180,Single,Purchased
1375,18,Male ,Student,High End,180 to 220,Single,Purchased
1376,24,Female,Student,High End,220 and Above,Single,Purchased
1377,19,Female,Student,High End,125 to 180,Complicated,Purchased
1378,24,Female,Student,High End,180 to 220,Complicated,Purchased
1379,18,Male ,Student,High End,180 to 220,Committed,Purchased
1380,23,Female,Student,High End,Below 125,Single,Purchased
1381,18,Male ,Student,High End,No Bike,Complicated,Purchased
1382,22,Female,Student,High End,180 to 220,Single,Purchased
1383,21,Female,Student,High End,180 to 220,Single,Purchased
